CAPUSC_ID	TIPO_CAPITOLO	ANNO_ESERCIZIO	NUMERO_CAPITOLO	NUMERO_ARTICOLO	NUMERO_UEB	DESCRIZIONE	DESCRIZIONE_ARTICOLO	TITOLO	MACROAGGREGATO	MISSIONE	PROGRAMMA	PDC_FIN_QUARTO	PDC_FIN_QUINTO	COFOG	NOTE	FLAG_RILEVANTE_IVA	FLAG_PER_MEMORIA	TIPO_FINANZIAMENTO	TIPO_VINCOLO	TIPO_FONDO	SIOPE_LIVELLO_1	SIOPE_LIVELLO_2	SIOPE_LIVELLO_3	CLASSIFICATORE_1	CLASSIFICATORE_2	CLASSIFICATORE_3	CLASSIFICATORE_4	CLASSIFICATORE_5	CLASSIFICATORE_6	CLASSIFICATORE_7	CLASSIFICATORE_8	CLASSIFICATORE_9	CLASSIFICATORE_10	CLASSIFICATORE_11	CLASSIFICATORE_12	CLASSIFICATORE_13	CLASSIFICATORE_14	CLASSIFICATORE_15	CENTRO_RESP	CDC	CLASSE_CAPITOLO	FLAG_IMPEGNABILE	STANZIAMENTO_INIZIALE	STANZIAMENTO_INIZIALE_RES	STANZIAMENTO_INIZIALE_CASSA	STANZIAMENTO	STANZIAMENTO_RES	STANZIAMENTO_CASSA	STANZIAMENTO_INIZIALE_ANNO2	STANZIAMENTO_ANNO2	STANZIAMENTO_INIZIALE_ANNO3	STANZIAMENTO_ANNO3	DICUIIMPEGNATO_ANNO1	DICUIIMPEGNATO_ANNO2	DICUIIMPEGNATO_ANNO3	FL_MIGRATO	DATA_INS	ENTE_PROPRIETARIO_ID
251998	CAP-UP	2016	3	0	1	CONTRIBUTO PER AGENZIA SOCIALE LOCAZIONE - FIN. CON CONTR. REG. CAP. 899/1		1000000	1040000	12	1205	U.1.04.02.05.000				N	N																						000		STD	S	0	0	0	0	0	0	0	0	0	0	0	0	0	N	02/02/2016 10:08:55	30
3080	CAP-UP	2016	10000	0	1	EX10000 - INDENNITA' DI CARICA AGLI AMMINISTRATORI COMUNALI		1000000	1040000	01	0101	U.1.04.02.05.000				N	N																						020		STD	S	0	0	0	245000	23126,5	268126,5	0	245000	0	0	0	0	0	N	02/02/2016 10:08:55	30
2895	CAP-UP	2016	20000	0	1	EX20000 - RIMBORSO DI SPESE  AGLI AMMINISTRATORI E CONSIGLIERI COMUNALI PER MISSIONI		1000000	1030000	01	0101	U.1.03.02.99.000				N	N																						030		STD	S	0	0	0	3200	1313,78	4513,78	0	3200	0	0	0	0	0	N	02/02/2016 10:08:55	30
2757	CAP-UP	2016	60000	0	1	EX60000 - SPESE DIVERSE PER IL SETTORE DEMOGRAFICO - SPESE ACQUISTO CARTE D'IDENTITA'		1000000	1030000	01	0107	U.1.03.01.02.000				N	N																						040		STD	S	0	0	0	3000	0	3000	0	3000	0	0	0	0	0	N	02/02/2016 10:08:55	30
2900	CAP-UP	2016	270000	0	1	EX270000 - MANUTENZIONE, RIPARAZIONE E NOLEGGIO DI ARREDI ED ATTREZZATURE PER GLI UFFICI COMUNALI		1000000	1030000	01	0103	U.1.03.02.99.000				N	N																						030		STD	S	0	0	0	65000	19823,03	84823,03	0	65000	0	0	0	0	0	N	02/02/2016 10:08:55	30
2905	CAP-UP	2016	320000	0	1	EX320000 - SPESE BANCARIE OPERAZIONI DI TESORERIA		1000000	1030000	01	0103	U.1.03.02.99.000				N	N																						030		STD	S	0	0	0	1000	344,75	1344,75	0	1000	0	0	0	0	0	N	02/02/2016 10:08:55	30
2816	CAP-UP	2016	330000	0	1	EX330000 - UTENZE PER UFFICI ED EDIFICI COMUNALI		1000000	1030000	01	0103	U.1.03.02.05.000				N	N																						030		STD	S	0	0	0	484000	44048,88	528048,88	0	484000	0	0	0	0	0	N	02/02/2016 10:08:55	30
2907	CAP-UP	2016	370000	0	1	EX370000 - SPESE NOTARILI, DI ASTE ED ONERI VARI PER PREFINANZIAMENTI E PER LA PUBBLICAZIONE DI GARE ECC.		1000000	1030000	01	0103	U.1.03.02.99.000				N	N																						030		STD	S	0	0	0	9000	10487,58	19487,58	0	9000	0	0	0	0	0	N	02/02/2016 10:08:55	30
3065	CAP-UP	2016	390000	0	1	EX390000 - QUOTA 10% DEI DIRITTI DI SEGRETERIA DA VERSARE AL FONDO DI CUI ALL'ART. 42 DELLA LEGGE 8.6.1962 N. 604 E SUCCESSIVE MODIFICAZIONI		1000000	1040000	01	0102	U.1.04.01.02.000				N	N																						020		STD	S	0	0	0	0	0	0	0	0	0	0	0	0	0	N	02/02/2016 10:08:55	30
2633	CAP-UP	2016	400000	0	1	EX400000 - QUOTA DEI DIRITTI DI ROGITO DI SPETTANZA DEL SEGRETARIO GENERALE EX ART. 41 LEGGE 11.7.1980 N. 312		1000000	1010000	01	0102	U.1.01.01.01.000				N	N																						020		STD	S	0	0	0	0	0	0	0	0	0	0	0	0	0	N	02/02/2016 10:08:55	30
